component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L9H5,9,5,0.009316346267374542,0.0018972449186370755,0.006348705727879556
L12H11,12,11,0.009197773729882619,0.001991729183894786,0.006315355911487486
L26H10,26,10,0.00883256880248462,0.021696552270796143,0.01397816218980923
L13H1,13,1,0.00874616750856727,0.003282140667845601,0.0065605567722786026
L4H11,4,11,0.008550218692640055,0.004249780643277079,0.006830043472894865
L25H2,25,2,0.0083801702755254,0.005298376810260019,0.007147452889419249
L17H14,17,14,0.008270182260652903,-0.002545071811210775,0.003944080631907432
L19H9,19,9,0.00813436798933076,0.002534566856012055,0.005894447536003278
L26H9,26,9,0.00793086101369167,-0.0012794689434330042,0.0042467290308418
L10H1,10,1,0.007563833783312601,0.0002549014440397235,0.0046402608476034495
L10H13,10,13,0.007354784302595174,0.00040807883913918097,0.004576102117212777
L27H5,27,5,0.007266466210528177,-0.0005175442230410665,0.00415286203710048
L8H4,8,4,0.007134272557933197,0.0024879465742809748,0.005275742164472308
L26H5,26,5,0.007101833093457133,0.004102139211282552,0.0059019555405873
L17H15,17,15,0.007082268959138438,0.008482273032025534,0.007642270588293276
L22H15,22,15,0.006875856620509491,0.00568814757393632,0.006400773001880222
L16H2,16,2,0.006630868446536153,0.0016353973528233645,0.004632680009051038
L16H0,16,0,0.006498635542101949,-0.0005495272031644793,0.0036793704439953777
L17H4,17,4,0.006441580086219645,0.0024075173750156553,0.004827955001738049
L5H12,5,12,0.006268285396622497,-0.0004034027820679631,0.003599610125146313
L8H13,8,13,0.006201613967011688,0.0038920742709462886,0.005277798088585528
L13H2,13,2,0.0061385151816577554,0.00114164265190686,0.004139766169757397
L26H14,26,14,0.0055819284625170384,0.0011529777108170158,0.0038103481618370293
L22H9,22,9,0.005421423330539632,0.0004984067707527462,0.0034522167066248777
L15H8,15,8,0.005183811594800303,0.002028823625750742,0.003921816407180478
L16H14,16,14,0.004720156512609375,0.0026397472474632977,0.003887992806550944
L7H8,7,8,0.004652721852791086,0.0011336062012650139,0.0032450755921806574
L4H0,4,0,0.004641592502593994,0.0023413496773416753,0.0037214953724930664
L14H1,14,1,0.004491076236817881,-0.0002917516522291663,0.002577945081199062
L19H14,19,14,0.004455713237204173,0.0004805595409579366,0.0028656517587056785
