clean_hit,corr_non,pair_success,pd_base,pd_suff,pd_nec,recovery,nec_drop
0.8902439024390244,0.8414634146341463,0.7317073170731707,0.6206547247200478,0.4726004171662214,-0.02798381011660505,0.7614546354716479,0.6486385348366528
0.8719512195121951,0.8658536585365854,0.7378048780487805,0.6289801623036222,0.4646088288324635,-0.02850917563205811,0.738670083218695,0.6574893379356803
0.8719512195121951,0.7439024390243902,0.6158536585365854,0.5642063992052544,0.4501784265768237,-0.034740490157429756,0.7978967044864268,0.5989468893626841
0.8597560975609756,0.8414634146341463,0.7012195121951219,0.5998986421561823,0.4671755149597075,-0.026788839843215,0.7787574135520391,0.6266874819993973
0.8902439024390244,0.8475609756097561,0.7378048780487805,0.6328769871374456,0.4571248285654115,-0.026493317470317922,0.7222964934027737,0.6593703046077635
0.8780487804878049,0.8597560975609756,0.7378048780487805,0.6086889919711322,0.4755671969274195,-0.0271175881711448,0.7812975151507136,0.6358065801422771
0.8902439024390244,0.823170731707317,0.7134146341463414,0.6028908182208131,0.446332747252976,-0.03015566526389702,0.7403210229165624,0.6330464834847102
0.8963414634146342,0.8414634146341463,0.7378048780487805,0.6075887680053711,0.4624567736939686,-0.025119993017940975,0.7611345009082184,0.6327087610233121
0.9024390243902439,0.8292682926829268,0.7317073170731707,0.6429397645520001,0.45793188781273075,-0.031060545909695494,0.7122469522959202,0.6740003104616956
0.9146341463414634,0.7926829268292683,0.7073170731707317,0.6368757791635467,0.4832368674801617,-0.026089014076605063,0.7587615721767149,0.6629647932401517
0.8475609756097561,0.8597560975609756,0.7073170731707317,0.6056858475615339,0.44138676582313163,-0.0268453348700593,0.7287387803420003,0.6325311824315931
0.8719512195121951,0.8719512195121951,0.7439024390243902,0.6098984345430281,0.4696557125667246,-0.02150460350804211,0.7700556124854598,0.6314030380510701
0.8414634146341463,0.8048780487804879,0.6463414634146342,0.5686480457462916,0.4630353316301253,-0.031076160145968916,0.8142740225575297,0.5997242058922605
0.8597560975609756,0.8353658536585366,0.6951219512195121,0.5748496081044034,0.4224080774115353,-0.025138784835978232,0.7348149349944121,0.5999883929403816
0.9024390243902439,0.8353658536585366,0.7378048780487805,0.6198659364770098,0.4833171091428617,-0.03170433131659902,0.7797123227790204,0.6515702677936088
0.9085365853658537,0.8048780487804879,0.7134146341463414,0.6115137106034814,0.4952198332402764,-0.031219617986097552,0.8098262142818541,0.6427333285895789
0.8902439024390244,0.8536585365853658,0.7439024390243902,0.6088757951085161,0.45926148208176215,-0.02488223517813332,0.7542777784410967,0.6337580302866495
0.8902439024390244,0.8475609756097561,0.7378048780487805,0.6326539320189778,0.47304080826480216,-0.027757228511135736,0.7477086355164937,0.6604111605301135
0.8597560975609756,0.8597560975609756,0.7195121951219512,0.5850986151433573,0.44442833741990534,-0.02794985945631817,0.7595785153418192,0.6130484745996754
0.8841463414634146,0.8170731707317073,0.7012195121951219,0.6099265668450332,0.4763149146626635,-0.0314897967547905,0.7809381334636996,0.6414163635998237
0.8841463414634146,0.7987804878048781,0.6829268292682927,0.6008742778766446,0.46231384320956903,-0.02909718962704262,0.7694019535043395,0.6299714675036873
0.8719512195121951,0.8353658536585366,0.7073170731707317,0.597182357093183,0.45202003128644896,-0.027656525736901808,0.7569212752465154,0.6248388828300848
0.8597560975609756,0.8048780487804879,0.6646341463414634,0.6003421977525805,0.46982648859663706,-0.02743874926392624,0.7825978089740819,0.6277809470165067
0.8353658536585366,0.8109756097560976,0.6463414634146342,0.5577619202980181,0.43047293475488335,-0.029163693872893717,0.7717861673383966,0.5869256141709118
0.9024390243902439,0.8109756097560976,0.7134146341463414,0.623859324106356,0.4612582398623955,-0.0291028469800949,0.7393625806945869,0.6529621710864509
0.8780487804878049,0.8170731707317073,0.6951219512195121,0.6075238309255461,0.46200040636993034,-0.02933135556011664,0.7604646646787909,0.6368551864856627
0.9146341463414634,0.8536585365853658,0.7682926829268293,0.6477242442892819,0.49965901745528707,-0.02984487428897763,0.7714070020688644,0.6775691185782595
0.9024390243902439,0.8902439024390244,0.7926829268292683,0.6556400424096642,0.4859998371542954,-0.026205404139146557,0.7412601514809347,0.6818454465488107
0.8780487804878049,0.8048780487804879,0.6829268292682927,0.5866118604090156,0.4429305421143043,-0.02807390181029714,0.7550657803009908,0.6146857622193127
0.8414634146341463,0.8414634146341463,0.6829268292682927,0.5813018407036619,0.4388598977792554,-0.02312535047531127,0.7549604474798558,0.6044271911789731
0.8902439024390244,0.8292682926829268,0.7195121951219512,0.6121388819159531,0.4638481867022631,-0.02998709242518354,0.7577499165707168,0.6421259743411366
