component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L24H6,24,6,0.1909294997046633,0.1139864089285455,0.1601522633942162
L21H1,21,1,0.1879028310862983,0.0996472399409224,0.1526005946281479
L17H8,17,8,0.2166346689549888,0.0912304386133101,0.1664729768183173
L21H12,21,12,0.1893009139997203,0.0841024623411457,0.1472215333362904
L20H5,20,5,0.1329757731135298,0.0654101985983732,0.1059495433074672
L16H13,16,13,0.1073894271763359,0.0485721314098776,0.0838625088697526
L23H6,23,6,0.0776310653948202,0.0416041071095117,0.0632202820806968
L17H2,17,2,0.0951587819471592,0.0410615758198064,0.073519899496218
