key_mlp,pearson_r_ap_vs_ct,p_value_two_sided,r_ci_low,r_ci_high,n_heads
11,0.0883161788561149,0.06179975222388335,-0.00436600896224687,0.17949399074673636,448
22,0.678435952577965,1.0442509709524777e-61,0.6250786120543237,0.7254824413093208,448
26,0.1337285017998367,0.0045777431759070316,0.04159740741088581,0.22360462273184278,448
27,0.9499020544393798,2.147536508741518e-227,0.9399784570116071,0.9582202790958424,448
