key_mlp,depth,top_heads,top_upstream_mlps
27,0,L24H6:0.1152; L21H1:0.1003; L17H8:0.0952; L21H12:0.0929; L20H5:0.0699; L16H13:0.0471; L23H6:0.0465; L17H2:0.0451,MLP8:0.0356; MLP4:0.0289; MLP22:0.0269; MLP5:0.0218; MLP3:0.0185; MLP0:0.0146
4,1,L3H0:0.0128; L4H9:0.0117; L0H8:0.0114; L0H6:0.0108; L2H14:0.0106; L2H15:0.0097; L0H15:0.0087; L0H0:0.0082,MLP1:0.0112; MLP0:0.0092; MLP3:0.0079; MLP2:0.0055
8,1,L7H13:0.0389; L8H14:0.0301; L6H0:0.0237; L3H15:0.0203; L5H15:0.0199; L5H12:0.0189; L3H14:0.0180; L6H9:0.0166,MLP4:0.0497; MLP6:0.0423; MLP5:0.0297; MLP7:0.0270; MLP0:0.0180; MLP3:0.0120
0,2,L0H6:0.0111; L0H11:0.0110; L0H1:0.0107; L0H8:0.0104; L0H7:0.0079; L0H10:0.0075; L0H3:0.0065; L0H0:0.0063,
1,2,L0H4:0.0126; L0H10:0.0118; L1H6:0.0114; L0H9:0.0101; L1H3:0.0096; L0H15:0.0095; L1H11:0.0093; L1H10:0.0093,MLP0:0.0127
6,2,L3H14:0.0240; L4H0:0.0184; L1H4:0.0160; L4H11:0.0155; L6H1:0.0152; L6H9:0.0149; L1H13:0.0146; L3H1:0.0142,MLP4:0.0425; MLP3:0.0199; MLP0:0.0091; MLP1:0.0088
