,MLP11,MLP22,MLP26,MLP27
MLP11,1.0,0.03225806451612903,0.0,0.0
MLP22,0.03225806451612903,1.0,0.23076923076923078,0.3333333333333333
MLP26,0.0,0.23076923076923078,1.0,0.3333333333333333
MLP27,0.0,0.3333333333333333,0.3333333333333333,1.0
